title,date,article_id,url,main_topic,all_topics,authors,year
Evaluating Interpretable Reinforcement Learning by Distilling Policies into Programs,2025-03-11 11:34:06+00:00,45,http://arxiv.org/pdf/2503.08322v1,cs.LG,"['cs.LG', 'cs.AI']","[arxiv.Result.Author('Hector Kohler'), arxiv.Result.Author('Quentin Delfosse'), arxiv.Result.Author('Waris Radji'), arxiv.Result.Author('Riad Akrour'), arxiv.Result.Author('Philippe Preux')]",2025
i-WiViG: Interpretable Window Vision GNN,2025-03-11 11:31:40+00:00,46,http://arxiv.org/pdf/2503.08321v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Ivica Obadic'), arxiv.Result.Author('Dmitry Kangin'), arxiv.Result.Author('Dario Oliveira'), arxiv.Result.Author('Plamen P Angelov'), arxiv.Result.Author('Xiao Xiang Zhu')]",2025
OminiControl2: Efficient Conditioning for Diffusion Transformers,2025-03-11 10:50:14+00:00,47,http://arxiv.org/pdf/2503.08280v1,cs.CV,"['cs.CV', 'cs.AI']","[arxiv.Result.Author('Zhenxiong Tan'), arxiv.Result.Author('Qiaochu Xue'), arxiv.Result.Author('Xingyi Yang'), arxiv.Result.Author('Songhua Liu'), arxiv.Result.Author('Xinchao Wang')]",2025
PromptLNet: Region-Adaptive Aesthetic Enhancement via Prompt Guidance in Low-Light Enhancement Net,2025-03-11 10:45:08+00:00,48,http://arxiv.org/pdf/2503.08276v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Jun Yin'), arxiv.Result.Author('Yangfan He'), arxiv.Result.Author('Miao Zhang'), arxiv.Result.Author('Pengyu Zeng'), arxiv.Result.Author('Tianyi Wang'), arxiv.Result.Author('Shuai Lu'), arxiv.Result.Author('Xueqian Wang')]",2025
Beyond Outlining: Heterogeneous Recursive Planning for Adaptive Long-form Writing with Language Models,2025-03-11 10:43:01+00:00,49,http://arxiv.org/pdf/2503.08275v1,cs.AI,"['cs.AI', 'cs.CL']","[arxiv.Result.Author('Ruibin Xiong'), arxiv.Result.Author('Yimeng Chen'), arxiv.Result.Author('Dmitrii Khizbullin'), arxiv.Result.Author('Jürgen Schmidhuber')]",2025
"Cameron-Liebler sets of generators in the Klein quadric $Q^+(5,q)$",2025-03-11 10:24:51+00:00,50,http://arxiv.org/pdf/2503.08260v1,math.CO,"['math.CO', '05B25, 51A50, 51E20']","[arxiv.Result.Author(""Jozefien D'haeseleer""), arxiv.Result.Author('Jonathan Mannaert'), arxiv.Result.Author('Leo Storme')]",2025
Aligning Text to Image in Diffusion Models is Easier Than You Think,2025-03-11 10:14:22+00:00,51,http://arxiv.org/pdf/2503.08250v1,cs.CV,"['cs.CV', 'cs.AI', 'cs.LG']","[arxiv.Result.Author('Jaa-Yeon Lee'), arxiv.Result.Author('Byunghee Cha'), arxiv.Result.Author('Jeongsol Kim'), arxiv.Result.Author('Jong Chul Ye')]",2025
A Grey-box Text Attack Framework using Explainable AI,2025-03-11 09:44:17+00:00,52,http://arxiv.org/pdf/2503.08226v1,cs.CL,"['cs.CL', 'cs.AI']","[arxiv.Result.Author('Esther Chiramal'), arxiv.Result.Author('Kelvin Soh Boon Kai')]",2025
EgoBlind: Towards Egocentric Visual Assistance for the Blind People,2025-03-11 09:40:31+00:00,53,http://arxiv.org/pdf/2503.08221v1,cs.CV,"['cs.CV', 'cs.AI', 'cs.MM']","[arxiv.Result.Author('Junbin Xiao'), arxiv.Result.Author('Nanxin Huang'), arxiv.Result.Author('Hao Qiu'), arxiv.Result.Author('Zhulin Tao'), arxiv.Result.Author('Xun Yang'), arxiv.Result.Author('Richang Hong'), arxiv.Result.Author('Meng Wang'), arxiv.Result.Author('Angela Yao')]",2025
DeepRAG: Building a Custom Hindi Embedding Model for Retrieval Augmented Generation from Scratch,2025-03-11 09:27:56+00:00,54,http://arxiv.org/pdf/2503.08213v1,cs.CL,"['cs.CL', 'cs.AI']",[arxiv.Result.Author('Nandakishor M')],2025
Explaining Human Preferences via Metrics for Structured 3D Reconstruction,2025-03-11 09:23:29+00:00,55,http://arxiv.org/pdf/2503.08208v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Jack Langerman'), arxiv.Result.Author('Denys Rozumnyi'), arxiv.Result.Author('Yuzhong Huang'), arxiv.Result.Author('Dmytro Mishkin')]",2025
